[10.27619017, 36.30983038]    [213634, 283554, 418383, 213648, 5332, 283772, 283804, 213598, 213629]
[3.920222781, 25.04151138]    [257655, 348882, 161381, 540609, 342191, 540707, 448394, 514617, 72415]
[0.080703672, 21.89267267]    [244978, 549449, 44130, 44163, 401906, 43716, 545198, 533583, 43659]
[26.83938657, 18.25915531]    [507413, 443109, 577117, 577120, 576898, 577076, 483130, 576886, 442905]
[70.70265609, 53.24395529]    [206919, 268310, 399572, 98269, 362916, 412129, 57389, 370046, 292473]
[0.091008106, 60.41961418]    [441510, 117808, 481109, 575963, 575948, 350222, 481147, 117468, 117644]
[4.838862585, 14.82650782]    [101440, 187392, 187393, 187433, 187273, 187373, 187383, 479707, 187260]
[0.765085916, 0.087791883]    [545960, 143472, 362289, 143508, 143509, 64951, 418830, 435903, 418570]
[56.05579532, 37.1527824]    [464646, 440997, 464723, 464642, 464719, 464619, 464698, 464714, 464649]
[5.605862019, 61.95826984]    [190208, 190193, 190010, 190056, 174057, 64044, 358585, 190159, 190060]
[1.34564747, 61.03653458]    [496000, 332034, 340877, 217551, 341128, 189644, 331953, 331952, 331955]
[14.66135289, 29.49275213]    [367524, 486645, 570107, 28628, 86308, 99719, 285346, 486637, 267099]
[0.39770169, 68.84947856]    [446886, 380805, 483095, 446871, 446887, 446869, 423813, 446888, 297290]
